dimension,check,column,total_records,failed_records,passed_records,score,status,is_critical,details
Completeness,Null check: transaction_id,transaction_id,10150,0,10150,100.0,PASS,True,0 null values (0.00%)
Completeness,Null check: customer_id,customer_id,10150,200,9950,98.03,PASS,True,200 null values (1.97%)
Completeness,Null check: account_number,account_number,10150,0,10150,100.0,PASS,False,0 null values (0.00%)
Completeness,Null check: transaction_date,transaction_date,10150,0,10150,100.0,PASS,True,0 null values (0.00%)
Completeness,Null check: transaction_type,transaction_type,10150,0,10150,100.0,PASS,False,0 null values (0.00%)
Completeness,Null check: amount,amount,10150,80,10070,99.21,PASS,True,80 null values (0.79%)
Completeness,Null check: currency,currency,10150,202,9948,98.01,PASS,False,202 null values (1.99%)
Completeness,Null check: branch_code,branch_code,10150,0,10150,100.0,PASS,False,0 null values (0.00%)
Completeness,Null check: status,status,10150,220,9930,97.83,PASS,False,220 null values (2.17%)
Completeness,Null check: risk_score,risk_score,10150,310,9840,96.95,PASS,False,310 null values (3.05%)
Completeness,Null check: region,region,10150,190,9960,98.13,PASS,False,190 null values (1.87%)
Completeness,Null check: product_code,product_code,10150,211,9939,97.92,PASS,False,211 null values (2.08%)
Uniqueness,Duplicate check: transaction_id,transaction_id,10150,150,10000,98.52,WARN,True,150 duplicate values (1.48%)
Uniqueness,Duplicate rows check,ALL,10150,143,10007,98.59,WARN,True,143 duplicate rows (1.41%)
Validity,Amount range check,amount,10150,0,10150,100.0,PASS,True,0 invalid records (0.00%)
Validity,Currency valid values,currency,10150,0,10150,100.0,PASS,False,0 invalid records (0.00%)
Validity,Risk score range check,risk_score,10150,0,10150,100.0,PASS,True,0 invalid records (0.00%)
Validity,Transaction type valid values,transaction_type,10150,0,10150,100.0,PASS,False,0 invalid records (0.00%)
Timeliness,Future date check: transaction_date,transaction_date,10150,50,10100,99.51,WARN,True,50 future-dated records (0.49%)
Consistency,Status and amount consistency,MULTI,10150,50,10100,99.51,PASS,True,50 inconsistent records (0.49%)
Consistency,Customer ID and account consistency,MULTI,10150,200,9950,98.03,WARN,True,200 inconsistent records (1.97%)
Completeness,Null check: customer_id,customer_id,5075,0,5075,100.0,PASS,True,0 null values (0.00%)
Completeness,Null check: customer_name,customer_name,5075,0,5075,100.0,PASS,True,0 null values (0.00%)
Completeness,Null check: email,email,5075,183,4892,96.39,PASS,True,183 null values (3.61%)
Completeness,Null check: phone,phone,5075,252,4823,95.03,PASS,False,252 null values (4.97%)
Completeness,Null check: age,age,5075,47,5028,99.07,PASS,False,47 null values (0.93%)
Completeness,Null check: credit_score,credit_score,5075,188,4887,96.3,PASS,False,188 null values (3.70%)
Completeness,Null check: account_balance,account_balance,5075,0,5075,100.0,PASS,False,0 null values (0.00%)
Completeness,Null check: kyc_status,kyc_status,5075,116,4959,97.71,PASS,False,116 null values (2.29%)
Completeness,Null check: segment,segment,5075,95,4980,98.13,PASS,False,95 null values (1.87%)
Completeness,Null check: country,country,5075,101,4974,98.01,PASS,False,101 null values (1.99%)
Uniqueness,Duplicate check: customer_id,customer_id,5075,75,5000,98.52,WARN,True,75 duplicate values (1.48%)
Uniqueness,Duplicate check: email,email,5075,255,4820,94.98,FAIL,True,255 duplicate values (5.02%)
Uniqueness,Duplicate rows check,ALL,5075,75,5000,98.52,WARN,True,75 duplicate rows (1.48%)
Validity,Age range check,age,5075,113,4962,97.77,WARN,True,113 invalid records (2.23%)
Validity,Credit score range check,credit_score,5075,0,5075,100.0,PASS,True,0 invalid records (0.00%)
Validity,KYC status valid values,kyc_status,5075,0,5075,100.0,PASS,False,0 invalid records (0.00%)
Validity,Country valid values,country,5075,0,5075,100.0,PASS,False,0 invalid records (0.00%)
Consistency,KYC verified requires email,MULTI,5075,139,4936,97.26,WARN,True,139 inconsistent records (2.74%)
Consistency,Premium segment requires credit score,MULTI,5075,40,5035,99.21,PASS,True,40 inconsistent records (0.79%)
